type,w_acc,w_miss,w_drowsy,ARI,NMI,Spearman_r,Pct_Match
Grid Sweep,1.0,0.1,0.1,0.3192794105353667,0.39932929878203777,0.8002592056110392,75.92592592592592
Grid Sweep,1.0,0.1,0.3,0.2599634734440864,0.3972763665409217,0.8453914767096135,70.37037037037037
Grid Sweep,1.0,0.1,0.5,0.2391374912130125,0.37090866399358124,0.836090569489975,68.51851851851852
Grid Sweep,1.0,0.1,0.7,0.19887158861027124,0.35506624480485627,0.7975909125562248,62.96296296296296
Grid Sweep,1.0,0.3,0.0,0.32472244522331656,0.4400752631465936,0.8925059083631929,75.92592592592592
Grid Sweep,1.0,0.3,0.1,0.4128971467271282,0.5968878022072296,0.9294808264084776,79.62962962962963
Grid Sweep,1.0,0.3,0.3,0.6283670609835643,0.6642099320607455,0.9676755355645347,88.88888888888889
Grid Sweep,1.0,0.3,0.5,0.22297583969421078,0.41691621113082805,0.9538004116794999,64.81481481481481
Grid Sweep,1.0,0.3,0.7,0.209038950042337,0.4042530844870728,0.9208660516886484,62.96296296296296
Grid Sweep,1.0,0.5,0.0,0.6370518566915362,0.5650423595357538,0.9372569947396509,87.03703703703704
Grid Sweep,1.0,0.5,0.1,0.6161215456588803,0.6471352782207743,0.9718685675078144,87.03703703703704
Grid Sweep,1.0,0.5,0.3,1.0,1.0,1.0,100.0
Grid Sweep,1.0,0.5,0.5,0.891086938652492,0.8518719976137076,0.9894793016695892,96.29629629629629
Grid Sweep,1.0,0.5,0.7,0.7635442062739811,0.7529911259749505,0.9615003430662499,92.5925925925926
Grid Sweep,1.0,0.7,0.0,0.6396395843058251,0.6143804168174077,0.9346649386292598,87.03703703703704
Grid Sweep,1.0,0.7,0.1,0.6968502687971214,0.6903073606662384,0.9566211786231609,88.88888888888889
Grid Sweep,1.0,0.7,0.3,0.7568299633933616,0.7327682036812452,0.9759853625066708,90.74074074074075
Grid Sweep,1.0,0.7,0.5,0.7265172423005077,0.7110222602792922,0.9663795075093391,88.88888888888889
Grid Sweep,1.0,0.7,0.7,0.5459686450167973,0.5951730779151853,0.9513608294579553,79.62962962962963
Grid Sweep,1.0,1.0,0.0,0.5357317581868649,0.5879835030311314,0.8818327361439354,81.48148148148148
Grid Sweep,1.0,1.0,0.1,0.586986593659871,0.6181825503668967,0.892810856140886,83.33333333333334
Grid Sweep,1.0,1.0,0.3,0.6400213517017961,0.6540289545722353,0.9162918350232523,87.03703703703704
Grid Sweep,1.0,1.0,0.5,0.6677037460210471,0.6694878428821937,0.9129374094686286,87.03703703703704
Grid Sweep,1.0,1.0,0.7,0.6677037460210471,0.6694878428821937,0.9064572691926508,87.03703703703704
Grid Sweep,1.2,0.1,0.0,0.1858497134593755,0.26331400508909864,0.7538309064572692,66.66666666666666
Grid Sweep,1.2,0.1,0.1,0.28449642962290234,0.3706467453245377,0.7878325836700465,74.07407407407408
Grid Sweep,1.2,0.1,0.3,0.22129355986013943,0.3538541062461356,0.8241213692155218,66.66666666666666
Grid Sweep,1.2,0.1,0.5,0.22036124599556614,0.35920928492051174,0.8265609514370664,66.66666666666666
Grid Sweep,1.2,0.1,0.7,0.18955357559082375,0.3327544426154472,0.8091789281085615,62.96296296296296
Grid Sweep,1.2,0.3,0.0,0.32472244522331656,0.4400752631465936,0.8716932225356409,75.92592592592592
Grid Sweep,1.2,0.3,0.1,0.36313846399554367,0.5132546567540405,0.8999771289166731,77.77777777777779
Grid Sweep,1.2,0.3,0.3,0.5297432146757372,0.6079966540153761,0.9441945566821682,85.18518518518519
Grid Sweep,1.2,0.3,0.5,0.2567708728458966,0.4478507687230827,0.9390104444613862,68.51851851851852
Grid Sweep,1.2,0.3,0.7,0.22297583969421078,0.41691621113082805,0.921628421132881,64.81481481481481
Grid Sweep,1.2,0.5,0.0,0.3248189826735518,0.38519993609950337,0.9287946939086681,74.07407407407408
Grid Sweep,1.2,0.5,0.1,0.47197381978316233,0.5680735969540758,0.9615765800106731,81.48148148148148
Grid Sweep,1.2,0.5,0.3,0.8642449271237654,0.8613839566678331,0.993138675001906,96.29629629629629
Grid Sweep,1.2,0.5,0.5,0.7635442062739811,0.7529911259749505,0.9889456430586263,92.5925925925926
Grid Sweep,1.2,0.5,0.7,0.6161215456588803,0.6471352782207743,0.9712586719524282,87.03703703703704
Grid Sweep,1.2,0.7,0.0,0.664500884796986,0.5934233494294725,0.940992605016391,87.03703703703704
Grid Sweep,1.2,0.7,0.1,0.7568299633933616,0.7327682036812452,0.9688190897308836,90.74074074074075
Grid Sweep,1.2,0.7,0.3,0.7568299633933616,0.7327682036812452,0.9921475947244034,90.74074074074075
Grid Sweep,1.2,0.7,0.5,0.7265172423005077,0.7110222602792922,0.9921475947244034,88.88888888888889
Grid Sweep,1.2,0.7,0.7,0.45159693249754523,0.54118208835772,0.9801021575055273,75.92592592592592
Grid Sweep,1.2,1.0,0.0,0.586986593659871,0.6181825503668967,0.9166730197453686,83.33333333333334
Grid Sweep,1.2,1.0,0.1,0.7568299633933616,0.7327682036812452,0.936418388350995,90.74074074074075
Grid Sweep,1.2,1.0,0.3,0.6968502687971214,0.6903073606662384,0.9516657772356484,88.88888888888889
Grid Sweep,1.2,1.0,0.5,0.6677037460210471,0.6694878428821937,0.9485400625142945,87.03703703703704
Grid Sweep,1.2,1.0,0.7,0.6677037460210471,0.6694878428821937,0.9428985286269727,87.03703703703704
Grid Sweep,1.5,0.1,0.0,0.1858497134593755,0.26331400508909864,0.7322558511854845,66.66666666666666
Grid Sweep,1.5,0.1,0.1,0.23153159471400947,0.3053613517114933,0.7579477014561258,70.37037037037037
Grid Sweep,1.5,0.1,0.3,0.26683091425204863,0.38019507733409413,0.7987344667225739,70.37037037037037
Grid Sweep,1.5,0.1,0.5,0.2599634734440864,0.3972763665409217,0.8195471525501259,70.37037037037037
Grid Sweep,1.5,0.1,0.7,0.22036124599556614,0.35920928492051174,0.8191659678280094,66.66666666666666
Grid Sweep,1.5,0.3,0.0,0.3192794105353667,0.39932929878203777,0.8389113364336358,75.92592592592592
Grid Sweep,1.5,0.3,0.1,0.35703637433037333,0.43485032440166,0.8578943355950295,77.77777777777779
Grid Sweep,1.5,0.3,0.3,0.444600355876136,0.5621169061006901,0.9075245864145765,81.48148148148148
